##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	1_R2_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21349284
Sequences flagged as poor quality	0
Sequence length	30-150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.632651942800514	37.0	32.0	37.0	32.0	37.0
2	34.8753619090926	37.0	32.0	37.0	32.0	37.0
3	36.03768205996979	37.0	37.0	37.0	37.0	37.0
4	36.22487962593968	37.0	37.0	37.0	37.0	37.0
5	36.25910428658872	37.0	37.0	37.0	37.0	37.0
6	37.155875438258256	37.0	37.0	37.0	37.0	41.0
7	37.19112570707289	37.0	37.0	37.0	37.0	41.0
8	37.297411472909346	37.0	37.0	37.0	37.0	41.0
9	37.28045825799123	37.0	37.0	37.0	37.0	41.0
10-14	37.28660117126176	37.0	37.0	37.0	37.0	41.0
15-19	37.28340737797108	37.0	37.0	37.0	37.0	41.0
20-24	37.2672027408507	37.0	37.0	37.0	37.0	41.0
25-29	37.19726225947437	37.0	37.0	37.0	37.0	41.0
30-34	37.208096873234254	37.0	37.0	37.0	37.0	41.0
35-39	37.144033913256706	37.0	37.0	37.0	37.0	41.0
40-44	37.17697611739907	37.0	37.0	37.0	37.0	41.0
45-49	37.1814694070889	37.0	37.0	37.0	37.0	41.0
50-54	37.12319271302448	37.0	37.0	37.0	37.0	41.0
55-59	37.08364077798769	37.0	37.0	37.0	37.0	41.0
60-64	37.09250401679516	37.0	37.0	37.0	37.0	41.0
65-69	37.087452863741575	37.0	37.0	37.0	37.0	41.0
70-74	36.92484187505774	37.0	37.0	37.0	37.0	41.0
75-79	36.898776868429174	37.0	37.0	37.0	37.0	41.0
80-84	36.93334813050954	37.0	37.0	37.0	37.0	41.0
85-89	36.948352911902234	37.0	37.0	37.0	37.0	41.0
90-94	36.84495918195749	37.0	37.0	37.0	37.0	41.0
95-99	36.809647747172924	37.0	37.0	37.0	37.0	41.0
100-104	36.53712937038902	37.0	37.0	37.0	35.0	41.0
105-109	36.73168878131351	37.0	37.0	37.0	37.0	41.0
110-114	36.774973205458764	37.0	37.0	37.0	37.0	41.0
115-119	36.74856168488911	37.0	37.0	37.0	37.0	41.0
120-124	36.60633916503353	37.0	37.0	37.0	37.0	41.0
125-129	36.53547481289051	37.0	37.0	37.0	37.0	41.0
130-134	36.43622659865304	37.0	37.0	37.0	37.0	41.0
135-139	36.2611667876154	37.0	37.0	37.0	34.0	41.0
140-144	36.03143994788709	37.0	37.0	37.0	30.0	41.0
145-149	35.89002504989306	37.0	37.0	37.0	28.0	41.0
150	36.66113381443248	37.0	37.0	37.0	37.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	50-54	3.009811265583771
1103	55-59	2.2518613198216286
1103	60-64	1.7120914358677197
1103	65-69	2.063316834256966
1103	70-74	2.6145782500249055
1103	75-79	2.5931919678224418
1103	80-84	2.799502329469135
1103	85-89	2.85050283684091
1103	90-94	2.825150317981354
1103	95-99	2.5464774970036146
1103	100-104	2.5956773473979666
1103	105-109	2.519947727545535
1103	110-114	2.3051586322059237
1103	115-119	2.307033392193695
1103	120-124	2.0196798395863738
1103	125-129	1.687253779081324
1103	130-134	1.8980767561126015
1103	135-139	1.8375902479257107
1103	140-144	1.38154659867795
1103	145-149	1.202035405584013
1103	150	1.409362076026909
1104	1	-2.7166505149352176
1104	2	-3.0493957973564463
1104	3	-1.3102704475547782
1104	4	-0.6289191255571822
1104	5	-0.3116881506372735
1104	6	2.6939864627119547
1104	7	2.9526984342691023
1104	8	2.974860117740036
1104	9	2.9196540967306035
1104	10-14	3.030060094858463
1104	15-19	3.0233718887994883
1104	20-24	2.972472209428915
1104	25-29	2.8513965489634074
1104	30-34	3.064268950289332
1104	35-39	3.0841613634809946
1104	40-44	3.0794817049107337
1104	45-49	2.450543057621914
1104	50-54	2.7265856306607574
1104	55-59	2.891831485264312
1104	60-64	2.6265194607836833
1104	65-69	2.276259959251945
1104	70-74	1.943834276111886
1104	75-79	2.0870082148592815
1104	80-84	3.1374485050034835
1104	85-89	3.218492609226857
1104	90-94	3.3023379800363273
1104	95-99	3.2929755269386263
1104	100-104	3.4062134825320385
1104	105-109	3.178825485038743
1104	110-114	3.0977936835894937
1104	115-119	3.0088729999995394
1104	120-124	3.029883279170157
1104	125-129	2.9031742160146052
1104	130-134	2.9637812120022247
1104	135-139	3.0281457669832506
1104	140-144	2.849358718940117
1104	145-149	2.791462407402321
1104	150	2.385435264386828
1105	1	-3.141392068697577
1105	2	-3.784309972428158
1105	3	-0.6188098910552995
1105	4	-0.09667836252164363
1105	5	0.302843223307228
1105	6	2.476873802294314
1105	7	2.7896697824229904
1105	8	2.8751654755619924
1105	9	2.34441871843503
1105	10-14	1.9897883934888938
1105	15-19	1.560706995656851
1105	20-24	2.564096080460274
1105	25-29	2.407024394178819
1105	30-34	1.879096320373712
1105	35-39	2.3038903742198045
1105	40-44	2.0654400946318248
1105	45-49	2.5076888221106373
1105	50-54	1.8101189721866504
1105	55-59	1.4671998708971117
1105	60-64	1.7708546105915843
1105	65-69	2.6533177233993896
1105	70-74	2.994544199592312
1105	75-79	2.7974473799166617
1105	80-84	3.0790957512382207
1105	85-89	3.027910847725863
1105	90-94	3.0585291723182593
1105	95-99	3.01319284196164
1105	100-104	2.6607707733928265
1105	105-109	2.0667363708516646
1105	110-114	2.0435722994288668
1105	115-119	2.1515989090613346
1105	120-124	1.8643688642161038
1105	125-129	1.23961705208486
1105	130-134	0.8942541246448954
1105	135-139	0.8842765537014898
1105	140-144	0.9348073901618719
1105	145-149	1.1041639310663598
1105	150	1.3586051425159482
1106	1	-3.1561981691775003
1106	2	-3.615177441974197
1106	3	-2.2033095135469694
1106	4	-1.7193012688625018
1106	5	-1.2361845769904392
1106	6	2.1532336310341904
1106	7	1.4487167665338134
1106	8	1.9603714375794752
1106	9	2.042558804352133
1106	10-14	1.9236054546100405
1106	15-19	2.565415316439328
1106	20-24	2.796628673550373
1106	25-29	2.102620888946916
1106	30-34	2.3633033198949533
1106	35-39	2.1659883007243934
1106	40-44	2.3895071860866466
1106	45-49	2.031543635421066
1106	50-54	2.8837768431482473
1106	55-59	2.8060168909411445
1106	60-64	2.90974833419137
1106	65-69	2.955441889188478
1106	70-74	2.9237670129721067
1106	75-79	0.6897921051761386
1106	80-84	0.7234479172769923
1106	85-89	1.648947659398317
1106	90-94	2.143881247985739
1106	95-99	2.3777513402856556
1106	100-104	2.616911012747032
1106	105-109	2.8779785671386335
1106	110-114	2.4367609832427277
1106	115-119	2.7315536060303316
1106	120-124	2.5941863626127883
1106	125-129	2.5855771523202336
1106	130-134	2.286243965975295
1106	135-139	2.319406152690398
1106	140-144	2.237850299213619
1106	145-149	1.755173763971591
1106	150	1.8147380902187606
1107	1	-2.7720812627460276
1107	2	-3.081768516555236
1107	3	-0.09411963979302129
1107	4	0.14359270180104033
1107	5	0.27871372621290647
1107	6	2.9011474649105367
1107	7	2.8567905981015684
1107	8	1.9489719258919962
1107	9	2.933373816674724
1107	10-14	2.99127243668552
1107	15-19	2.988468337092179
1107	20-24	2.999993229131377
1107	25-29	2.873640067125237
1107	30-34	2.998127632168284
1107	35-39	2.7911763830038083
1107	40-44	3.064441217099187
1107	45-49	3.0113748434771637
1107	50-54	2.3210576273106227
1107	55-59	2.1829642212672837
1107	60-64	1.9512953587371982
1107	65-69	2.3075163567993116
1107	70-74	1.7769820417243096
1107	75-79	2.8968714288862927
1107	80-84	3.1708049731554198
1107	85-89	3.184457242012705
1107	90-94	3.2187117719883744
1107	95-99	3.2244055779008676
1107	100-104	3.4617456123431083
1107	105-109	3.1877926687283704
1107	110-114	3.130807069326437
1107	115-119	3.1255635360671548
1107	120-124	3.14560048534382
1107	125-129	3.047752031471731
1107	130-134	3.004808783555987
1107	135-139	2.9662352040691786
1107	140-144	3.0168396962356354
1107	145-149	2.8679976206477846
1107	150	2.4627204645340797
1108	1	-2.7585940327495564
1108	2	-3.199190606657126
1108	3	-0.2152983886165032
1108	4	0.24877322951576275
1108	5	0.2289095209363552
1108	6	1.4675798002361375
1108	7	2.6697414983037007
1108	8	2.828946169440023
1108	9	2.9257612008121896
1108	10-14	2.7873224468010775
1108	15-19	1.9242889911962706
1108	20-24	1.8528294053106436
1108	25-29	2.003013627548789
1108	30-34	2.8215218030198557
1108	35-39	2.9777958894951624
1108	40-44	2.303701677497081
1108	45-49	1.4376905509822677
1108	50-54	2.169145266083646
1108	55-59	2.998857848978581
1108	60-64	2.967609418972799
1108	65-69	2.959431491448072
1108	70-74	3.108752545830491
1108	75-79	2.9346279760086205
1108	80-84	3.1235282289596924
1108	85-89	3.0471904798783456
1108	90-94	3.1980560406071845
1108	95-99	3.1898542139120636
1108	100-104	3.3985994232134686
1108	105-109	3.1041460839914947
1108	110-114	2.9509925311112752
1108	115-119	2.9721593735318734
1108	120-124	3.053827265017759
1108	125-129	2.917103178188107
1108	130-134	2.95546313394987
1108	135-139	2.8420575556023664
1108	140-144	2.9105892330238063
1108	145-149	2.775634934852313
1108	150	2.3805455017307224
1109	1	-2.874959527831372
1109	2	-3.300911574292023
1109	3	-0.3623163095284596
1109	4	0.03770893999979563
1109	5	0.14649327476787732
1109	6	2.766665984575191
1109	7	2.776371504137771
1109	8	2.7604571351746543
1109	9	1.88723192971392
1109	10-14	2.3755129473398355
1109	15-19	2.6385846603913947
1109	20-24	2.748580271426306
1109	25-29	2.83613391668311
1109	30-34	2.7027939942811656
1109	35-39	2.0686473632023095
1109	40-44	2.451664598364026
1109	45-49	2.7238343620645296
1109	50-54	2.857317861457261
1109	55-59	2.838973852349568
1109	60-64	2.902533678729398
1109	65-69	2.914145821789994
1109	70-74	3.021583586149255
1109	75-79	2.8792091735319616
1109	80-84	2.8086379207442533
1109	85-89	2.41666068009269
1109	90-94	2.640430133529101
1109	95-99	3.0197698280357983
1109	100-104	3.1699588129211946
1109	105-109	2.751865025893707
1109	110-114	2.7103677934378894
1109	115-119	2.7164923942416976
1109	120-124	2.6833528526719164
1109	125-129	2.648811860430399
1109	130-134	2.699531234422423
1109	135-139	2.7115769881625553
1109	140-144	2.370768323110468
1109	145-149	2.4770577201182817
1109	150	2.1189657795536334
1110	1	-2.8706756703577625
1110	2	-3.288823426533945
1110	3	-1.0635586815923332
1110	4	-0.6648598502563274
1110	5	-0.39996577844767955
1110	6	2.463853424625455
1110	7	2.499342475069092
1110	8	2.3478651086930853
1110	9	2.5181260807169537
1110	10-14	2.4945012074830473
1110	15-19	2.53128270518544
1110	20-24	2.63607481527243
1110	25-29	2.2624469954528834
1110	30-34	2.3103517301737213
1110	35-39	2.5762392001366905
1110	40-44	2.5521283661162926
1110	45-49	2.5555165336261183
1110	50-54	2.6760610332908072
1110	55-59	2.609862376830513
1110	60-64	2.466131748728415
1110	65-69	2.44404970180873
1110	70-74	2.529343619841576
1110	75-79	1.7505523123863043
1110	80-84	1.8937164581278054
1110	85-89	2.547644193152493
1110	90-94	2.8770376996568032
